City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
83,Chapais,CA,1599271785,49.78,-74.85,46.4,87,75,6.93
84,Santa Vitória do Palmar,BR,1599271785,-33.52,-53.37,49.91,90,100,6.15
85,Bagua Grande,PE,1599271786,-5.76,-78.44,77.34,61,48,2.53
86,Sharjah city,AE,1599271599,25.36,55.4,89.6,51,15,3.36
87,Khandyga,RU,1599271786,62.67,135.6,65.25,49,4,3.4
88,Palmer,US,1599271612,42.16,-72.33,61.0,87,40,4.29
89,Broken Hill,AU,1599271787,-31.95,141.43,64.4,39,0,4.7
90,Ponta Delgada,PT,1599271787,37.73,-25.67,69.8,88,75,18.34
91,Saint George,US,1599271787,37.1,-113.58,107.6,5,1,4.7
92,Ugoofaaru,MV,1599271788,5.67,73.0,82.13,79,83,18.7
93,Kang,BW,1599271788,-23.68,22.79,64.87,31,0,12.12
94,Sal Rei,CV,1599271789,16.18,-22.92,78.8,83,75,5.82
95,Codrington,AU,1599271789,-38.27,141.97,56.98,68,13,6.76
96,Yanam,IN,1599271789,16.73,82.22,83.26,77,4,2.1
97,Albany,US,1599271655,42.6,-73.97,60.01,96,0,5.55
98,Saint Paul Harbor,US,1599271790,57.79,-152.41,55.4,62,40,6.93
99,Narsaq,GL,1599271593,60.92,-46.05,42.8,93,99,3.36
100,Constitución,CL,1599271792,-35.33,-72.42,48.2,83,7,2.26
101,Upernavik,GL,1599271589,72.79,-56.15,33.8,82,0,10.83
102,Hermanus,ZA,1599271792,-34.42,19.23,53.01,82,24,8.05
103,Kavaratti,IN,1599271793,10.57,72.64,81.9,80,100,7.9
104,Celestún,MX,1599271793,20.87,-90.4,81.95,81,47,14.54
105,Varhaug,NO,1599271793,58.61,5.65,51.01,99,70,8.01
106,Laguna,US,1599271794,38.42,-121.42,95.0,24,1,3.36
107,Chicama,PE,1599271794,-7.84,-79.15,60.4,81,11,5.44
108,Mehrān,IR,1599271794,33.12,46.16,68.0,13,0,4.7
109,Barrow,US,1599271502,71.29,-156.79,39.2,86,75,4.7
110,Zwedru,LR,1599271772,6.07,-8.13,70.93,98,100,1.79
111,Bredasdorp,ZA,1599271795,-34.53,20.04,53.6,81,44,9.17
112,Miepherkeim,TR,1599271796,38.14,41.01,62.6,63,0,3.36
113,Champerico,GT,1599271796,14.3,-91.92,68.0,96,100,2.64
114,Te Anau,NZ,1599271618,-45.42,167.72,54.34,55,94,7.38
115,Wilkie,CA,1599271797,52.42,-108.7,62.01,77,57,4.68
116,Ilulissat,GL,1599271797,69.22,-51.1,41.0,75,88,5.82
117,Xichang,CN,1599271798,27.9,102.26,71.76,73,96,3.36
118,Henties Bay,NA,1599271798,-22.12,14.28,54.0,89,0,5.99
